Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
1,lisp,2,mayerrobert-cl-hashdot,667421780,5.01000,1,base,no,1,133217920.15968
2,cpp,3,flo80_pol_constexpr,210903208,5.00002,1,base,no,1,42180447.56994
3,d,2,BradleyChatha-MultistaticThreads-SieveRTCT_Cheatiness-1bit,1209003221,5.00001,12,other,no,1,20150013.38331
4,cpp,3,flo80_pol_constexpr,654889951,5.00047,12,base,no,1,10913813.16652
5,cpp,4,BlackMark-pregenerated-inv_bits<u32>-clang,2324317,5.00000,1,base,no,1,464863.40000
6,cpp,4,BlackMark-pregenerated-inv_bits<u32>-clang,14439262,5.00090,12,base,no,1,240611.05668
7,cpp,4,BlackMark-pregenerated-inv_bits<u32>-gcc,1083570,5.00000,1,base,no,1,216714.00000
8,cpp,4,BlackMark-pregenerated-inv_bits<u32>-gcc,6497485,5.00062,12,base,no,1,108277.99020
9,rust,6,SycrationSinglethreaded,242048,5.00001,1,base,no,1,48409.53113
10,rust,6,SycrationMultithreaded,1035040,5.00003,8,base,no,1,25875.83311
11,rust,1,mike-barber_bit-extreme-hybrid,67405,5.00001,1,base,yes,1,13480.96400
12,rust,1,mike-barber_bit-unrolled-hybrid,67030,5.00002,1,base,yes,1,13405.94119
13,zig,3,77-ManDeJan&ityonemo&SpexGuy-zig-single-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-5760of30030v,66890,5.00003,1,wheel,yes,1,13377.91973
14,nim,3,GordonBGood_extreme-hybrid,64839,5.00004,1,base,yes,1,12967.69319
15,zig,3,51-ManDeJan&ityonemo&SpexGuy-zig-single-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u32,63477,5.00007,1,base,yes,1,12695.22227
16,haskell,2,GordonBGood_extreme-hybrid,57192,5.00006,1,base,yes,1,11438.27348
17,c,2,danielspaangberg_5760of30030_owrb,49356,5.00003,1,wheel,yes,1,9871.14670
18,zig,3,95-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-5760of30030v-no-ht,290882,5.00002,6,wheel,yes,1,9696.02788
19,zig,3,93-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-480of2310v-no-ht,283855,5.00005,6,wheel,yes,1,9461.73872
20,chapel,1,GordonBGood_extreme_hybrid,47006,5.00007,1,base,yes,1,9401.06839
