Index Implementation Solution Label Passes Duration Threads Algorithm Faithful Bits PassesPerSecond
1 lisp 2 mayerrobert-cl-hashdot 673555339 5,01000 1 base no 1 134442183,43313
2 cpp 3 flo80_pol_constexpr 211772422 5,00002 1 base no 1 42354289,57027
3 d 2 BradleyChatha-MultistaticThreads-SieveRTCT_Cheatiness-1bit 1259794782 5,00001 12 other no 1 20996537,70692
4 cpp 3 flo80_pol_constexpr 655594316 5,00027 12 base no 1 10925986,30047
5 cpp 4 BlackMark-pregenerated-inv_bits<u32>-clang 2320894 5,00000 1 base no 1 464178,80000
6 cpp 4 BlackMark-pregenerated-inv_bits<u32>-clang 14581661 5,00085 12 base no 1 242986,37565
7 cpp 4 BlackMark-pregenerated-inv_bits<u32>-gcc 1163386 5,00000 1 base no 1 232677,20000
8 cpp 4 BlackMark-pregenerated-inv_bits<u32>-gcc 6669358 5,00099 12 base no 1 111133,96214
9 rust 6 SycrationSinglethreaded 234800 5,00002 1 base no 1 46959,84964
10 rust 6 SycrationMultithreaded 1043558 5,00004 8 base no 1 26088,74451
11 rust 1 mike-barber_bit-extreme-hybrid 67878 5,00002 1 base yes 1 13575,54562
12 rust 1 mike-barber_bit-unrolled-hybrid 67320 5,00004 1 base yes 1 13463,89985
13 zig 3 77-ManDeJan&ityonemo&SpexGuy-zig-single-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-5760of30030v 67016 5,00004 1 wheel yes 1 13403,09278
14 nim 3 GordonBGood_extreme-hybrid 64947 5,00007 1 base yes 1 12989,21839
15 zig 3 51-ManDeJan&ityonemo&SpexGuy-zig-single-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u32 63567 5,00005 1 base yes 1 12713,27287
16 haskell 2 GordonBGood_extreme-hybrid 57897 5,00002 1 base yes 1 11579,34603
17 c 2 danielspaangberg_5760of30030_owrb 50020 5,00008 1 wheel yes 1 10003,83594
18 chapel 1 GordonBGood_extreme_hybrid 48416 5,00007 1 base yes 1 9683,06444
19 zig 3 95-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-5760of30030v-no-ht 282869 5,00000 6 wheel yes 1 9428,96667
20 zig 3 93-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-480of2310v-no-ht 280268 5,00002 6 wheel yes 1 9342,22930
21 crystal 2 GordonBGood_extreme-hybrid 45364 5,00008 1 base yes 1 9072,64758
22 zig 3 91-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u32-no-ht 265201 5,00010 6 base yes 1 8839,85654
23 go 2 ssovest-go-other-u64 42835 5,00117 1 other yes 1 8564,99844
24 c 3 fvbakel_Cwords 41775 5,00004 1 other yes 1 8354,93650
25 c 2 danielspaangberg_480of2310_owrb 41733 5,00004 1 wheel yes 1 8346,52822
26 go 2 ssovest-go-other-u32-seg-16k 40975 5,00127 1 other yes 1 8192,91193
27 zig 3 83-ManDeJan&ityonemo&SpexGuy-zig-single-vecSieve 40613 5,00011 1 other yes 1 8122,42131
28 go 2 ssovest-go-other-u32-rblock-16k 39608 5,00054 1 other yes 1 7920,75054
29 julia 4 GordonBGood_extremehybrid 39236 5,00011 1 base yes 1 7847,03237
30 go 2 ssovest-go-other-u32-block-16k 37358 5,00107 1 other yes 1 7469,99510
31 cython 1 ssovest-cy 34973 5,00007 1 other yes 1 6994,50767
32 c 2 danielspaangberg_48of210_owrb 34786 5,00002 1 wheel yes 1 6957,17356
33 rust 1 mike-barber_bit-extreme-hybrid 390874 5,00033 12 base yes 1 6514,14174
34 rust 1 mike-barber_bit-unrolled-hybrid 389187 5,00026 12 base yes 1 6486,11907
35 zig 3 94-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-5760of30030v 383920 5,00001 12 wheel yes 1 6398,65387
36 zig 3 92-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-inverted-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u8-advanced-480of2310v 380397 5,00001 12 wheel yes 1 6339,93732
37 lisp 2 mayerrobert-cl-wheel-bitvector 31504 5,01000 1 wheel yes 1 6288,22355
38 zig 3 90-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-bitSieve-unrolled-run-u64v8h-deLUT-spLUT-find-u32 364217 5,00009 12 base yes 1 6070,17407
39 c 1 mckoss-c830 30232 5,00000 1 wheel yes 1 6046,40000
40 cpp 4 BlackMark-5760of30030-os-hs-maskedbits<u32>-gcc 29750 5,00011 1 wheel yes 1 5949,86910
41 mixed 1 ssovest-cgo 29185 5,00043 1 other no 1 5836,50235
42 lisp 2 mayerrobert-cl-wheel-opt 28764 5,01000 1 wheel yes 1 5741,31737
43 nim 3 GordonBGood_extreme 28059 5,00007 1 base yes 1 5611,71630
44 haskell 2 GordonBGood_extreme 27253 5,00009 1 base yes 1 5450,50372
45 cpp 4 BlackMark-5760of30030-os-hs-inv_bits<u32>-gcc 27122 5,00001 1 wheel yes 1 5424,38915
46 cpp 4 BlackMark-5760of30030-os-hs-inv_vec<u8>-gcc 26498 5,00011 1 wheel yes 8 5299,48341
47 c 2 danielspaangberg_8of30_owrb 26378 5,00005 1 wheel yes 1 5275,54724
48 zig 3 47-ManDeJan&ityonemo&SpexGuy-zig-single-sieve-u8-92160of510510 26312 5,00014 1 wheel yes 8 5262,25266
49 cpp 4 BlackMark-5760of30030-os-hs-inv_bits<u32>-clang 26239 5,00007 1 wheel yes 1 5247,72653
50 julia 4 GordonBGood_extreme 26139 5,00013 1 base yes 1 5227,66514
51 cpp 4 BlackMark-5760of30030-os-hs-maskedbits<u32>-clang 25920 5,00015 1 wheel yes 1 5183,84448
52 go 2 ssovest-go-stride-u32-rblock-16k 25098 5,00150 1 base yes 1 5018,09655
53 rust 1 mike-barber_bit-striped-hybrid-blocks4k 24968 5,00011 1 base yes 1 4993,49380
54 crystal 2 GordonBGood_extreme 24560 5,00044 1 base yes 1 4911,56680
55 rust 1 mike-barber_bit-striped-blocks16k 24423 5,00016 1 base yes 1 4884,44675
56 c 2 danielspaangberg_48of210 24165 5,00011 1 wheel yes 1 4832,89464
57 go 2 ssovest-go-stride-u32-block-16k 24105 5,00129 1 base yes 1 4819,75681
58 c 2 danielspaangberg_5760of30030_epar 288588 5,00078 12 wheel yes 1 4809,04883
59 c 4 merriam 23886 5,00000 1 wheel yes 1 4777,20000
60 rust 1 mike-barber_bit-striped-blocks4k 23782 5,00010 1 base yes 1 4756,30474
61 lisp 2 mayerrobert-cl-dense 23726 5,01000 1 base yes 1 4735,72854
62 nim 3 GordonBGood_stride8block-16K 23667 5,00007 1 base yes 1 4733,33302
63 rust 1 mike-barber_bit-striped-hybrid-blocks16k 23397 5,00011 1 base yes 1 4679,29959
64 c 3 fvbakel_Cstriped-block 22349 5,00004 1 base yes 1 4469,76782
65 crystal 2 GordonBGood_stride8-rblock16K 21785 5,00006 1 base yes 1 4356,94597
66 csharp 4 italytoast-stride8-blocks32k 21448 5,00019 1 base yes 1 4289,43700
67 julia 4 GordonBGood_stride8block16k 21333 5,00004 1 base yes 1 4266,56318
68 csharp 4 italytoast-stride8-blocks16k 20890 5,00020 1 base yes 1 4177,83289
69 go 2 ssovest-go-stride-u32 20688 5,00158 1 base yes 1 4136,29501
70 csharp 1 kinematics_poolq30m 20543 5,00004 1 other yes 1 4108,56713
71 chapel 1 GordonBGood_extreme 20106 5,00013 1 base yes 1 4021,09545
72 csharp 4 italytoast-stride8-blocks64k 19876 5,00024 1 base yes 1 3975,00920
73 cpp 4 BlackMark-5760of30030-os-hs-inv_vec<u8>-clang 19871 5,00014 1 wheel yes 8 3974,08873
74 c 2 danielspaangberg_8of30 19757 5,00000 1 wheel yes 1 3951,39842
75 haskell 2 GordonBGood_stride8-block16K 19611 5,00006 1 base yes 1 3922,15376
76 rust 7 sergiocks 19147 5,00020 1 wheel yes 8 3829,25058
77 c 2 danielspaangberg_480of2310_epar 227182 5,00107 12 wheel yes 1 3785,55883
78 java 4 chrvanorleStrided32Blocks16k 18843 5,00000 1 base yes 1 3768,60000
79 assemblyscript 2 maxgraey_unrolled 17921 5,00000 1 base yes 1 3584,20000
80 basic 3 Nukepayload2_ReDim8of30M 17736 5,00003 1 wheel yes 1 3547,17772
81 zig 2 ManDeJan&ityonemo-zig-byte-sieve-type-bool 17698 5,00003 1 base no 8 3539,57876
82 swift 1 yellowcub_striped_UInt8 17683 5,00013 1 base yes 1 3536,50523
83 amd64 1 dacvs8 17625 5,00016 1 base yes 8 3524,88438
84 zig 3 89-ManDeJan&ityonemo&SpexGuy-zig-parallel-gustafson-sieve-u8-92160of510510-no-ht 105701 5,00004 6 wheel yes 8 3523,33848
85 cpp 4 BlackMark-1of2-cs-hs-inv_arr<bool>-clang 17592 5,00028 1 base yes 8 3518,20298
86 nim 3 GordonBGood_stride8 17580 5,00022 1 base yes 1 3515,84642
87 cpp 4 BlackMark-1of2-cs-hs-inv_arr<bool>-gcc 17560 5,00001 1 base yes 8 3511,99298
88 cpp 4 BlackMark-1of2-cs-hs-inv_stridedbits<u8>-gcc 17426 5,00026 1 base yes 1 3485,01878
89 basic 3 Nukepayload2_ArrayPool8of30M 17390 5,00025 1 wheel yes 1 3477,82806
90 cpp 4 BlackMark-1of2-bs-hs-vec<u8>-gcc 17351 5,00006 1 base yes 8 3470,15836
91 fortran 2 tjol-8bit 17311 5,00019 1 base yes 8 3462,06595
92 haskell 2 GordonBGood_stride8 17240 5,00014 1 base yes 1 3447,90130
93 csharp 4 italytoast-stride8 17229 5,00002 1 base yes 1 3445,78622
94 cython 1 rpkak+byte-array 17217 5,00005 1 base yes 8 3443,36739
95 julia 4 GordonBGood_stride8 17036 5,00020 1 base yes 1 3407,06175
96 fsharp 4 GordonBGood_unpeeled 17010 5,00014 1 base yes 1 3401,90815
97 lisp 2 mayerrobert-cl-words 16873 5,01000 1 other yes 1 3367,86427
98 zig 3 46-ManDeJan&ityonemo&SpexGuy-zig-single-sieve-u8 16666 5,00001 1 base yes 8 3333,19333
99 assembly 1 rbergen_x64uff_byte 16538 5,00000 1 base no 8 3307,60000
100 crystal 2 GordonBGood_stride8 16246 5,00022 1 base yes 1 3249,05769
101 cpp 4 BlackMark-5760of30030-os-hs-maskedbits<u32>-gcc 191341 5,00123 12 wheel yes 1 3188,23236
102 c 2 danielspaangberg_48of210_epar 190775 5,00180 12 wheel yes 1 3178,44100
103 lua 3 mooshua_luajit_16 15794 5,00014 1 base no 8 3158,71029
104 cpp 4 BlackMark-5760of30030-os-hs-inv_bits<u32>-gcc 188919 5,00106 12 wheel yes 1 3147,98263
105 d 2 BradleyChatha-Single-SieveRTB1_32-1bit 15562 5,00026 1 base yes 1 3112,23816
106 lua 3 mooshua_luajit_8 15555 5,00006 1 base no 8 3110,96142
107 lua 3 mooshua_luajit_24 15402 5,00012 1 base no 8 3080,32854
108 lua 3 mooshua_luajit_1 14623 5,00024 1 base no 8 2924,46138
109 rust 1 mike-barber_bit-striped-hybrid-blocks4k 174789 5,00036 12 base yes 1 2912,93804
110 haskell 1 fatho/vector_unchecked 14540 5,00025 1 base no 8 2907,85403
111 zig 1 devblok 14145 5,00032 1 base yes 8 2828,81896
112 ada 1 BoopBeepBoopBeep 14129 5,00015 1 base no 1 2825,71562
113 java 1 MansenC+pez-boolean-array 13989 5,00000 1 base yes 8 2797,80000
114 rust 1 mike-barber_bit-striped-hybrid-blocks16k 166571 5,00040 12 base yes 1 2775,96254
115 chapel 1 GordonBGood_stride8 13665 5,00035 1 base yes 1 2732,80870
116 cpp 4 BlackMark-1of2-bs-hs-vec<u8>-clang 13622 5,00035 1 base yes 8 2724,20931
117 rust 1 mike-barber_bit-rotate 13579 5,00034 1 base yes 1 2715,61509
118 cpp 1 davepl_pol 13383 5,00005 1 base yes 1 2676,57109
119 d 2 BradleyChatha-Single-SieveCT-1bit 13352 5,00008 1 base no 1 2670,35727
120 assembly 1 rbergen_x64ff_byte 13265 5,00000 1 base yes 8 2653,00000
121 d 2 BradleyChatha-Single-SieveRTB1_64-1bit 13141 5,00028 1 base yes 1 2628,05283
122 d 2 BradleyChatha-Single-SieveRT-1bit 13057 5,00022 1 base yes 1 2611,28510
123 d 2 BradleyChatha-Single-SieveRTB1_16-1bit 13056 5,00024 1 base yes 1 2611,07467
124 csharp 1 kinematics_rawd30 12994 5,00006 1 wheel yes 1 2598,76881
125 assemblyscript 1 donmahallem 12974 5,00000 1 base yes 1 2594,80000
126 c 2 danielspaangberg_8of30_epar 150349 5,00104 12 wheel yes 1 2505,29607
127 odin 1 odin_byte_moe 12509 5,00000 1 base yes 8 2501,80000
128 csharp 4 italytoast-dense-and-sparse 12451 5,00028 1 base yes 1 2490,06056
129 haskell 1 fatho/vector 12231 5,00035 1 base no 8 2446,02878
130 haskell 2 GordonBGood_bittwiddle 12187 5,00028 1 base yes 1 2437,26366
131 nim 3 GordonBGood_bittwiddle 12186 5,00035 1 base yes 1 2437,02938
132 fortran 2 tjol-logical 12107 5,00012 1 base yes 1 2421,34065
133 fortran 1 johandweber_fortran 11845 5,00000 1 base no 1 2369,00000
134 c 2 danielspaangberg_1of2 11833 5,00000 1 base yes 1 2366,59905
135 d 2 BradleyChatha-Single-SieveRTBX-8bit 11771 5,00052 1 base yes 8 2353,95519
136 java 4 chrvanorleI32CUnroll 11574 5,00000 1 base yes 1 2314,80000
137 rust 1 mike-barber_bit-striped-blocks4k 138734 5,00036 12 base yes 1 2312,06840
