FID                     ,ID          ,GEOMETRIE                                     ,STANDORTNAME                                       ,HOMEPAGE                      ,BEMERKUNG
wlanhotspot.gisdb.37366 ,gisdb.37366 ,POINT (13.00539148942703 47.81019615705138)   ,Salzburg surft Hotspot - SWH Taxham                ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37367 ,gisdb.37367 ,POINT (13.021817535399212 47.8241462764178)   ,Salzburg surft Hotspot - SWH Liefering             ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37368 ,gisdb.37368 ,POINT (13.048104501836294 47.82314205794925)  ,Salzburg surft Hotspot - SWH Itzling               ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37369 ,gisdb.37369 ,POINT (13.060087135964494 47.79063964566402)  ,Salzburg surft Hotspot - SWH Hellbrunn             ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37370 ,gisdb.37370 ,POINT (13.027040198811637 47.81359944032846)  ,Salzburg surft Hotspot - Stadt-Bibliothek Salzburg ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37371 ,gisdb.37371 ,POINT (13.026458422130988 47.830670036636015) ,Salzburg surft Hotspot - Sportzentrum Nord         ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37372 ,gisdb.37372 ,POINT (13.067881930834691 47.77668987072965)  ,Salzburg surft Hotspot - Sporthalle Alpenstraße    ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37373 ,gisdb.37373 ,POINT (13.063694996283202 47.76378997534246)  ,Salzburg surft Hotspot - Schloss Hellbrunn         ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37374 ,gisdb.37374 ,POINT (13.027351340015988 47.81331845653042)  ,Salzburg surft Hotspot - Panorama-Bar              ,https://www.salzburgsurft.at/ ,
wlanhotspot.gisdb.37375 ,gisdb.37375 ,POINT (13.047768184887955 47.79882736625742)  ,Salzburg surft Hotspot - Mozartplatz               ,https://www.salzburgsurft.at/ ,
